Supplementary_Table8:  NIPT data with different fetal concentrations,,,,,,,
,,,,,,,
,sample,chr13_count,chr13_prob,total_reads,coverage,ff,Z_score_CHR13
632,sample_632,475,0.016642725,28541,0.208008,0.06,13.66500496
633,sample_633,456,0.014139973,32249,0.235045,0.06,-7.680784896
634,sample_634,302,0.016392553,18423,0.134271,0.06,11.53130789
635,sample_635,459,0.015697138,29241,0.213098,0.06,5.60016018
636,sample_636,710,0.01604121,44261,0.322576,0.06,8.534730611
637,sample_637,243,0.016083129,15109,0.110109,0.06,8.892256249
638,sample_638,759,0.015758331,48165,0.35099,0.06,6.122072343
639,sample_639,806,0.015555942,51813,0.377626,0.06,4.395909176
640,sample_640,368,0.015135936,24313,0.177189,0.06,0.81370691
641,sample_641,441,0.017602682,25053,0.182573,0.06,21.85241807
642,sample_642,549,0.015036976,36510,0.266094,0.06,-0.03031036
643,sample_643,747,0.015782802,47330,0.34494,0.06,6.330782664
644,sample_644,682,0.017161982,39739,0.289588,0.06,18.09371531
645,sample_645,900,0.016287824,55256,0.402714,0.06,10.63808292
646,sample_646,354,0.014337208,24691,0.179968,0.06,-5.99858514
647,sample_647,862,0.014701869,58632,0.427288,0.06,-2.888413564
648,sample_648,859,0.014823379,57949,0.422306,0.06,-1.852064187
649,sample_649,274,0.015780683,17363,0.126549,0.06,6.312713749
650,sample_650,968,0.014847309,65197,0.475187,0.06,-1.647969046
651,sample_651,1125,0.016492216,68214,0.497138,0.06,12.38132569
652,sample_652,1012,0.015343097,65958,0.480687,0.06,2.580573847
653,sample_653,575,0.016173037,35553,0.259093,0.06,9.659076804
654,sample_654,348,0.015329721,22701,0.165454,0.06,2.466491178
655,sample_655,697,0.017153545,40633,0.296094,0.06,18.02175856
656,sample_656,487,0.014248932,34178,0.249092,0.06,-6.751483509
657,sample_657,417,0.018603614,22415,0.163349,0.06,30.38929152
658,sample_658,975,0.015409416,63273,0.461142,0.06,3.146205809
659,sample_659,288,0.012911324,22306,0.162578,0.06,-18.15984659
660,sample_660,665,0.017039485,39027,0.284429,0.06,17.04895166
661,sample_661,335,0.019642334,17055,0.124278,0.06,39.24846161
662,sample_662,500,0.016747053,29856,0.217563,0.06,14.55481133
663,sample_663,862,0.014739326,58483,0.426202,0.06,-2.56894823
664,sample_664,352,0.015597997,22567,0.164481,0.06,4.754597736
665,sample_665,424,0.018312171,23154,0.168745,0.06,27.9035948
666,sample_666,815,0.015579302,52313,0.381222,0.06,4.595144583
667,sample_667,670,0.016145745,41497,0.302433,0.06,9.426305571
668,sample_668,1001,0.01485053,67405,0.491222,0.06,-1.620493517
669,sample_669,625,0.014124932,44248,0.322476,0.06,-7.809069662
670,sample_670,741,0.016152941,45874,0.334347,0.06,9.487672826
671,sample_671,1022,0.016169607,63205,0.460606,0.06,9.629817437
672,sample_672,838,0.014911297,56199,0.409559,0.06,-1.102216208
673,sample_673,294,0.018661927,15754,0.114797,0.06,30.8866431
674,sample_674,843,0.014654498,57525,0.419226,0.06,-3.292439578
675,sample_675,292,0.015299974,19085,0.13909,0.06,2.212778055
676,sample_676,898,0.015501467,57930,0.422223,0.06,3.931301925
677,sample_677,406,0.018526124,21915,0.15969,0.06,29.72838479
678,sample_678,407,0.015045098,27052,0.197163,0.06,0.03896296
679,sample_679,328,0.01628034,20147,0.146814,0.06,10.57424864
680,sample_680,806,0.01466361,54966,0.400588,0.06,-3.214722368
681,sample_681,915,0.016298539,56140,0.409107,0.06,10.72947399
682,sample_682,841,0.014496251,58015,0.422852,0.06,-4.642117822
683,sample_683,490,0.01491674,32849,0.239407,0.06,-1.055794251
684,sample_684,686,0.014516982,47255,0.344412,0.06,-4.465301498
685,sample_685,1001,0.014945652,66976,0.488125,0.06,-0.80920635
686,sample_686,462,0.015031234,30736,0.224018,0.06,-0.079287217
687,sample_687,785,0.016252588,48300,0.352017,0.06,10.33755793
688,sample_688,915,0.015574203,58751,0.42819,0.06,4.551659664
689,sample_689,512,0.017833507,28710,0.209213,0.06,23.82110986
690,sample_690,1116,0.016499113,67640,0.492951,0.06,12.44015208
691,sample_691,541,0.017736542,30502,0.222265,0.06,22.99409684
692,sample_692,482,0.014505402,33229,0.242178,0.06,-4.564070108
693,sample_693,884,0.016029593,55148,0.401938,0.06,8.435650032
694,sample_694,755,0.014566572,51831,0.377761,0.06,-4.04235357
695,sample_695,377,0.014238236,26478,0.19298,0.06,-6.842713596
696,sample_696,782,0.015162091,51576,0.375861,0.06,1.03678438
697,sample_697,397,0.018351592,21633,0.157649,0.06,28.2398205
698,sample_698,451,0.017784613,25359,0.184791,0.06,23.40409182
699,sample_699,820,0.015339432,53457,0.389622,0.06,2.549311654
700,sample_700,589,0.016241107,36266,0.264304,0.06,10.23964053
701,sample_701,510,0.014137214,36075,0.262906,0.06,-7.70431788
702,sample_702,658,0.014172482,46428,0.338382,0.06,-7.403519695
703,sample_703,396,0.014427806,27447,0.200042,0.06,-5.225877477
704,sample_704,505,0.014987387,33695,0.245586,0.06,-0.453254191
705,sample_705,364,0.015697775,23188,0.168986,0.06,5.60559422
