Supplementary_Table8:  NIPT data with different fetal concentrations,,,,,,,
,,,,,,,
,sample,chr13_count,chr13_prob,total_reads,coverage,ff,Z_score_CHR13
1105,sample_1105,866,0.015145685,57178,0.416472,0.08,0.896863089
1106,sample_1106,320,0.013805004,23180,0.168858,0.08,-10.53771225
1107,sample_1107,593,0.01575075,37649,0.274215,0.08,6.057419759
1108,sample_1108,676,0.016153313,41849,0.304808,0.08,9.490849327
1109,sample_1109,819,0.015113211,54191,0.394754,0.08,0.619888448
1110,sample_1110,664,0.016447857,40370,0.294087,0.08,12.00299638
1111,sample_1111,775,0.01541491,50276,0.366271,0.08,3.193058291
1112,sample_1112,1000,0.016181753,61798,0.450199,0.08,9.73341511
1113,sample_1113,889,0.016595419,53569,0.390188,0.08,13.26153958
1114,sample_1114,838,0.01528026,54842,0.399534,0.08,2.044637478
1115,sample_1115,1070,0.016922079,63231,0.460569,0.08,16.04760303
1116,sample_1116,636,0.017487901,36368,0.26493,0.08,20.87346012
1117,sample_1117,1024,0.01604739,63811,0.464831,0.08,8.587438152
1118,sample_1118,224,0.013346839,16783,0.122263,0.08,-14.44537166
1119,sample_1119,874,0.016308709,53591,0.390309,0.08,10.81620626
1120,sample_1120,422,0.019309966,21854,0.159136,0.08,36.41372253
1121,sample_1121,625,0.015209403,41093,0.299358,0.08,1.440306541
1122,sample_1122,528,0.014682573,35961,0.26197,0.08,-3.052992058
1123,sample_1123,574,0.016037551,35791,0.260724,0.08,8.503525346
1124,sample_1124,1049,0.016223573,64659,0.471011,0.08,10.09009022
1125,sample_1125,983,0.016347913,60130,0.438044,0.08,11.15057703
1126,sample_1126,653,0.015311027,42649,0.310629,0.08,2.307051909
1127,sample_1127,1123,0.016773712,66950,0.487608,0.08,14.78218584
1128,sample_1128,673,0.017706333,38009,0.276828,0.08,22.73644506
1129,sample_1129,821,0.0168355,48766,0.355181,0.08,15.30917494
1130,sample_1130,1121,0.017009848,65903,0.480032,0.08,16.79617398
1131,sample_1131,602,0.015094907,39881,0.290508,0.08,0.463780613
1132,sample_1132,770,0.017848037,43142,0.314198,0.08,23.94502862
1133,sample_1133,663,0.017301219,38321,0.27909,0.08,19.28125557
1134,sample_1134,1009,0.017226073,58574,0.426622,0.08,18.64034356
1135,sample_1135,991,0.015447687,64152,0.467278,0.08,3.472611422
1136,sample_1136,934,0.017001602,54936,0.400171,0.08,16.72584491
1137,sample_1137,864,0.015319692,56398,0.410865,0.08,2.380954794
1138,sample_1138,796,0.017637544,45131,0.32871,0.08,22.14975128
1139,sample_1139,1025,0.015729303,65165,0.474694,0.08,5.874492867
1140,sample_1140,932,0.015847914,58809,0.428417,0.08,6.886125434
1141,sample_1141,231,0.014847667,15558,0.113324,0.08,-1.644916798
1142,sample_1142,535,0.015355031,34842,0.253828,0.08,2.682359478
1143,sample_1143,1084,0.017032777,63642,0.463627,0.08,16.99173629
1144,sample_1144,292,0.014709586,19851,0.144616,0.08,-2.822594681
1145,sample_1145,978,0.015386794,63561,0.462948,0.08,2.95325966
1146,sample_1146,650,0.015736213,41306,0.300846,0.08,5.933428773
1147,sample_1147,1048,0.015391168,68091,0.496047,0.08,2.990564462
1148,sample_1148,477,0.014756837,32324,0.23549,0.08,-2.419597561
1149,sample_1149,838,0.015549041,53894,0.392565,0.08,4.337052313
1150,sample_1150,445,0.018424975,24152,0.175881,0.08,28.86569628
1151,sample_1151,708,0.01671467,42358,0.308532,0.08,14.27862473
1152,sample_1152,602,0.016025982,37564,0.273612,0.08,8.404854015
1153,sample_1153,441,0.015630538,28214,0.2055,0.08,5.032137271
1154,sample_1154,292,0.018563255,15730,0.114567,0.08,30.04507477
1155,sample_1155,304,0.016923676,17963,0.130827,0.08,16.06122446
1156,sample_1156,979,0.017372942,56352,0.410454,0.08,19.89297481
1157,sample_1157,964,0.01600239,60241,0.438807,0.08,8.203640135
1158,sample_1158,1028,0.016688312,61600,0.448676,0.08,14.05381489
1159,sample_1159,788,0.016803856,46894,0.341607,0.08,15.03928002
1160,sample_1160,290,0.01741428,16653,0.12131,0.08,20.24554542
1161,sample_1161,918,0.016647625,55143,0.4017,0.08,13.70680323
1162,sample_1162,442,0.014515123,30451,0.221848,0.08,-4.481162527
1163,sample_1163,662,0.016243406,40755,0.296903,0.08,10.25924295
1164,sample_1164,400,0.014522746,27543,0.200638,0.08,-4.416141415
1165,sample_1165,1015,0.015385315,65972,0.480646,0.08,2.940647023
1166,sample_1166,303,0.017612183,17204,0.125325,0.08,21.93345058
1167,sample_1167,827,0.014796658,55891,0.407201,0.08,-2.079969123
1168,sample_1168,710,0.017797162,39894,0.290569,0.08,23.51112582
1169,sample_1169,738,0.015863462,46522,0.338896,0.08,7.01873335
1170,sample_1170,918,0.01614293,56867,0.414287,0.08,9.40229253
1171,sample_1171,601,0.017336372,34667,0.252478,0.08,19.58107401
1172,sample_1172,993,0.015906324,62428,0.454813,0.08,7.384297262
1173,sample_1173,514,0.016971538,30286,0.220598,0.08,16.46943235
1174,sample_1174,167,0.01208044,13824,0.100735,0.08,-25.24640237
1175,sample_1175,907,0.014869584,60997,0.444393,0.08,-1.457988622
1176,sample_1176,664,0.014866226,44665,0.325394,0.08,-1.486623638
1177,sample_1177,662,0.017597023,37620,0.273997,0.08,21.80414898
1178,sample_1178,566,0.018590291,30446,0.221698,0.08,30.27566361
1179,sample_1179,641,0.014998362,42738,0.311293,0.08,-0.359646959
1180,sample_1180,616,0.016738221,36802,0.268091,0.08,14.47948578
1181,sample_1181,470,0.017793594,26414,0.192411,0.08,23.48069311
1182,sample_1182,635,0.01681941,37754,0.275035,0.08,15.17194207
1183,sample_1183,477,0.018647381,25580,0.186281,0.08,30.76257818
1184,sample_1184,334,0.015733936,21228,0.154641,0.08,5.914013975
1185,sample_1185,470,0.015734851,29870,0.217572,0.08,5.921815477
1186,sample_1186,733,0.015711744,46653,0.339862,0.08,5.724738619
1187,sample_1187,520,0.014702972,35367,0.257612,0.08,-2.879011183
1188,sample_1188,534,0.015170455,35200,0.256391,0.08,1.10811737
1189,sample_1189,327,0.019304563,16939,0.123354,0.08,36.36764323
1190,sample_1190,720,0.016354344,44025,0.320693,0.08,11.20542886
1191,sample_1191,792,0.014869051,53265,0.388011,0.08,-1.462532653
1192,sample_1192,765,0.016090358,47544,0.346288,0.08,8.953913114
1193,sample_1193,290,0.013529906,21434,0.156172,0.08,-12.88400862
1194,sample_1194,339,0.013556204,25007,0.182214,0.08,-12.6597105
1195,sample_1195,630,0.017266897,36486,0.265715,0.08,18.98852767
1196,sample_1196,301,0.016882607,17829,0.129878,0.08,15.71094593
1197,sample_1197,602,0.016041356,37528,0.273402,0.08,8.535973216
1198,sample_1198,327,0.017250475,18956,0.138061,0.08,18.84846465
1199,sample_1199,1047,0.017198896,60876,0.443437,0.08,18.40855381
1200,sample_1200,881,0.015889047,55447,0.403959,0.08,7.236943899
1201,sample_1201,400,0.017917936,22324,0.162588,0.08,24.54119349
1202,sample_1202,462,0.014500031,31862,0.232085,0.08,-4.60987492
1203,sample_1203,223,0.015707544,14197,0.103434,0.08,5.6889145
1204,sample_1204,770,0.015710438,49012,0.35708,0.08,5.713600744
1205,sample_1205,836,0.017421748,47986,0.34956,0.08,20.30924203
1206,sample_1206,1141,0.016799423,67919,0.49478,0.08,15.00147416
1207,sample_1207,588,0.014839117,39625,0.288667,0.08,-1.717839799
1208,sample_1208,1110,0.016500669,67270,0.48998,0.08,12.45342305
1209,sample_1209,724,0.015242426,47499,0.345982,0.08,1.721958211
1210,sample_1210,1041,0.015316482,67966,0.495121,0.08,2.353573368
1211,sample_1211,509,0.014904395,34151,0.248798,0.08,-1.161084316
1212,sample_1212,579,0.017666982,32773,0.238731,0.08,22.40082532
1213,sample_1213,936,0.015993985,58522,0.426247,0.08,8.131952511
1214,sample_1214,691,0.017085353,40444,0.294579,0.08,17.44014897
1215,sample_1215,892,0.017206126,51842,0.377606,0.08,18.47021959
1216,sample_1216,1049,0.015840657,66222,0.482417,0.08,6.824228843
1217,sample_1217,608,0.014677836,41423,0.301783,0.08,-3.093391914
1218,sample_1218,981,0.015262781,64274,0.468231,0.08,1.895565109
1219,sample_1219,257,0.017545057,14648,0.106698,0.08,21.36093874
1220,sample_1220,306,0.018764948,16307,0.118742,0.08,31.76529722
1221,sample_1221,858,0.016991445,50496,0.36786,0.08,16.63921659
1222,sample_1222,1080,0.016290821,66295,0.482822,0.08,10.66364739
1223,sample_1223,394,0.013645967,28873,0.210375,0.08,-11.89413192
1224,sample_1224,391,0.016085901,24307,0.177044,0.08,8.915897761
1225,sample_1225,664,0.014711095,45136,0.328835,0.08,-2.809725059
1226,sample_1226,885,0.015663994,56499,0.41162,0.08,5.317481347
1227,sample_1227,607,0.015886725,38208,0.278298,0.08,7.217140532
1228,sample_1228,675,0.016455789,41019,0.298787,0.08,12.07064326
1229,sample_1229,339,0.016142088,21001,0.152993,0.08,9.395115243
1230,sample_1230,726,0.017160686,42306,0.308171,0.08,18.08266604
1231,sample_1231,856,0.014945178,57276,0.417277,0.08,-0.813252799
1232,sample_1232,929,0.015383342,60390,0.439949,0.08,2.923816294
1233,sample_1233,439,0.018946096,23171,0.168737,0.08,33.31030306
1234,sample_1234,606,0.014464043,41897,0.305227,0.08,-4.916819293
1235,sample_1235,450,0.017139592,26255,0.191246,0.08,17.90275705
1236,sample_1236,648,0.01468289,44133,0.321461,0.08,-3.050283551
1237,sample_1237,917,0.016348434,56091,0.408529,0.08,11.15502009
1238,sample_1238,1084,0.016680259,64987,0.473407,0.08,13.98513517
1239,sample_1239,354,0.015132085,23394,0.170436,0.08,0.780867478
1240,sample_1240,879,0.015227635,57724,0.420521,0.08,1.595805067
1241,sample_1241,1151,0.016952398,67896,0.494486,0.08,16.30618676
1242,sample_1242,807,0.015762642,51197,0.372972,0.08,6.158845714
1243,sample_1243,626,0.015348028,40787,0.297161,0.08,2.622625186
1244,sample_1244,745,0.01746121,42666,0.310749,0.08,20.64581342
1245,sample_1245,424,0.014377755,29490,0.214842,0.08,-5.652760207
1246,sample_1246,594,0.016705102,35558,0.259024,0.08,14.19701423
1247,sample_1247,458,0.014785163,30977,0.225688,0.08,-2.178005718
1248,sample_1248,666,0.014894331,44715,0.325782,0.08,-1.24692309
1249,sample_1249,453,0.015848581,28583,0.20819,0.08,6.891813289
1250,sample_1250,513,0.016056338,31950,0.232702,0.08,8.663755699
1251,sample_1251,259,0.016904902,15321,0.111601,0.08,15.90109655
1252,sample_1252,486,0.01577154,30815,0.224485,0.08,6.234731803
1253,sample_1253,917,0.015567439,58905,0.429126,0.08,4.493970872
1254,sample_1254,689,0.015752172,43740,0.318668,0.08,6.069544257
1255,sample_1255,760,0.017484931,43466,0.316539,0.08,20.84812321
1256,sample_1256,503,0.015675642,32088,0.233766,0.08,5.416825742
1257,sample_1257,209,0.012461988,16771,0.122178,0.08,-21.99220494
1258,sample_1258,705,0.015518722,45429,0.3309,0.08,4.078462076
1259,sample_1259,728,0.017257319,42185,0.307237,0.08,18.90683809
1260,sample_1260,279,0.014800276,18851,0.137306,0.08,-2.049110881
1261,sample_1261,1020,0.016364511,62330,0.45398,0.08,11.29214546
1262,sample_1262,303,0.014549121,20826,0.151704,0.08,-4.191190547
1263,sample_1263,333,0.015892712,20953,0.152623,0.08,7.268202961
1264,sample_1264,1004,0.016995345,59075,0.430228,0.08,16.67247971
1265,sample_1265,285,0.013069797,21806,0.158865,0.08,-16.80824148
1266,sample_1266,699,0.015015789,46551,0.339097,0.08,-0.211013113
1267,sample_1267,760,0.016937065,44872,0.326855,0.08,16.17541818
1268,sample_1268,275,0.019682222,13972,0.10173,0.08,39.58866323
1269,sample_1269,1008,0.015286392,65941,0.480315,0.08,2.09694307
1270,sample_1270,290,0.016907649,17152,0.124919,0.08,15.92452966
1271,sample_1271,366,0.018556074,19724,0.143636,0.08,29.9838276
1272,sample_1272,487,0.017152719,28392,0.20678,0.08,18.01471305
1273,sample_1273,807,0.015527592,51972,0.378621,0.08,4.154115893
1274,sample_1274,909,0.015438704,58878,0.428929,0.08,3.395996182
1275,sample_1275,300,0.013823611,21702,0.158107,0.08,-10.37901945
1276,sample_1276,426,0.016242184,26228,0.191065,0.08,10.24882237
1277,sample_1277,478,0.016508375,28955,0.210891,0.08,12.519148
1278,sample_1278,223,0.016189923,13774,0.100326,0.08,9.80309296
1279,sample_1279,748,0.015086424,49581,0.361125,0.08,0.391428724
1280,sample_1280,314,0.019729815,15915,0.115926,0.08,39.99458106
1281,sample_1281,630,0.016330974,38577,0.281031,0.08,11.00611025
1282,sample_1282,840,0.016036043,52382,0.381507,0.08,8.490660101
1283,sample_1283,1014,0.015744364,64404,0.469126,0.08,6.002948486
1284,sample_1284,769,0.015222598,50517,0.367971,0.08,1.552848093
1285,sample_1285,525,0.014796652,35481,0.25851,0.08,-2.080020733
1286,sample_1286,398,0.017829145,22323,0.162572,0.08,23.78390103
1287,sample_1287,1026,0.015869579,64652,0.470945,0.08,7.070898159
1288,sample_1288,451,0.01585293,28449,0.207227,0.08,6.928901169
1289,sample_1289,926,0.017522944,52845,0.38484,0.08,21.17233949
1290,sample_1290,789,0.016625577,47457,0.345723,0.08,13.51875374
1291,sample_1291,202,0.012574701,16064,0.117037,0.08,-21.03088159
1292,sample_1292,789,0.015088927,52290,0.380957,0.08,0.412775801
1293,sample_1293,694,0.017210594,40324,0.293695,0.08,18.50832583
1294,sample_1294,672,0.017446389,38518,0.280536,0.08,20.51940077
1295,sample_1295,638,0.017307327,36863,0.268539,0.08,19.33335434
1296,sample_1296,1081,0.016555886,65294,0.475642,0.08,12.92436277
1297,sample_1297,283,0.015389635,18389,0.13396,0.08,2.977493074
1298,sample_1298,345,0.014595761,23637,0.172212,0.08,-3.79340472
1299,sample_1299,795,0.017174336,46290,0.337227,0.08,18.19907981
1300,sample_1300,442,0.016932271,26104,0.190153,0.08,16.1345261
1301,sample_1301,797,0.016031701,49714,0.362097,0.08,8.453631035
1302,sample_1302,603,0.017792859,33890,0.246876,0.08,23.47442388
1303,sample_1303,671,0.015887673,42234,0.307654,0.08,7.225227198
1304,sample_1304,641,0.014797544,43318,0.315538,0.08,-2.072412781
1305,sample_1305,691,0.014694312,47025,0.342575,0.08,-2.952873086
1306,sample_1306,690,0.01472157,46870,0.341454,0.08,-2.720384989
1307,sample_1307,999,0.015318327,65216,0.475088,0.08,2.369309421
1308,sample_1308,756,0.017862206,42324,0.308217,0.08,24.0658761
1309,sample_1309,868,0.016120645,53844,0.392226,0.08,9.212223883
1310,sample_1310,1055,0.016453781,64119,0.467047,0.08,12.05352117
1311,sample_1311,921,0.015086242,61049,0.444689,0.08,0.38987615
1312,sample_1312,713,0.017282335,41256,0.300541,0.08,19.12019557
1313,sample_1313,1007,0.016992339,59262,0.431611,0.08,16.64684348
1314,sample_1314,560,0.015147417,36970,0.269339,0.08,0.911630258
1315,sample_1315,1012,0.017069221,59288,0.431808,0.08,17.30256744
1316,sample_1316,449,0.016301191,27544,0.200658,0.08,10.75208807
1317,sample_1317,428,0.019198852,22293,0.162367,0.08,35.46603488
1318,sample_1318,924,0.01515748,60960,0.444085,0.08,0.997461065
1319,sample_1319,554,0.015907655,34826,0.253668,0.08,7.395650247
1320,sample_1320,799,0.015730204,50794,0.369999,0.08,5.882184386
1321,sample_1321,497,0.01745452,28474,0.207429,0.08,20.5887513
1322,sample_1322,1115,0.016582391,67240,0.489757,0.08,13.15042844
1323,sample_1323,592,0.015216162,38906,0.283394,0.08,1.497953326
1324,sample_1324,875,0.016328282,53588,0.390355,0.08,10.98315068
1325,sample_1325,886,0.016534169,53586,0.390322,0.08,12.73914585
1326,sample_1326,542,0.014478816,37434,0.272726,0.08,-4.790819037
1327,sample_1327,505,0.018307051,27585,0.200902,0.08,27.85992881
1328,sample_1328,591,0.015938081,37081,0.27013,0.08,7.655154009
1329,sample_1329,841,0.017492772,48077,0.350176,0.08,20.91500078
1330,sample_1330,516,0.017714305,29129,0.212177,0.08,22.80444299
1331,sample_1331,341,0.020320601,16781,0.122197,0.08,45.03335391
1332,sample_1332,915,0.015617799,58587,0.426801,0.08,4.923488422
1333,sample_1333,232,0.013200569,17575,0.128033,0.08,-15.6928989
1334,sample_1334,312,0.021131053,14765,0.1075,0.08,51.94564655
1335,sample_1335,303,0.015978484,18963,0.138128,0.08,7.999747689
1336,sample_1336,1019,0.016514594,61703,0.449414,0.08,12.57218975
1337,sample_1337,1024,0.016720824,61241,0.446009,0.08,14.33111255
1338,sample_1338,863,0.016576708,52061,0.379235,0.08,13.10195562
1339,sample_1339,438,0.016029864,27324,0.199051,0.08,8.437959334
1340,sample_1340,539,0.016929987,31837,0.231902,0.08,16.11504778
1341,sample_1341,392,0.016223151,24163,0.176019,0.08,10.08649272
1342,sample_1342,997,0.016528515,60320,0.439341,0.08,12.69091659
1343,sample_1343,374,0.016526734,22630,0.164815,0.08,12.67573369
1344,sample_1344,574,0.016648297,34478,0.25111,0.08,13.71253638
1345,sample_1345,1029,0.017145428,60016,0.437117,0.08,17.952527
1346,sample_1346,931,0.017059406,54574,0.397485,0.08,17.21884875
1347,sample_1347,969,0.016720734,57952,0.422085,0.08,14.33034594
1348,sample_1348,929,0.016685525,55677,0.405588,0.08,14.03005119
1349,sample_1349,331,0.018588196,17807,0.129698,0.08,30.25779249
1350,sample_1350,825,0.016794235,49124,0.357816,0.08,14.95722739
1351,sample_1351,693,0.016676292,41556,0.302735,0.08,13.95130179
1352,sample_1352,960,0.015981355,60070,0.43749,0.08,8.024231422
1353,sample_1353,549,0.016550601,33171,0.241623,0.08,12.87929371
1354,sample_1354,1075,0.016603086,64747,0.471572,0.08,13.32692973
1355,sample_1355,288,0.015998222,18002,0.131128,0.08,8.168091735
1356,sample_1356,236,0.01470405,16050,0.116924,0.08,-2.869815739
1357,sample_1357,810,0.017417107,46506,0.338723,0.08,20.26966319
1358,sample_1358,294,0.013267747,22159,0.161455,0.08,-15.11994457
1359,sample_1359,408,0.017594549,23189,0.168896,0.08,21.7830508
1360,sample_1360,1156,0.017064998,67741,0.4934,0.08,17.26654241
1361,sample_1361,939,0.01562734,60087,0.437735,0.08,5.004864531
1362,sample_1362,716,0.017884351,40035,0.291577,0.08,24.25475226
1363,sample_1363,633,0.015821045,40010,0.291475,0.08,6.656955674
1364,sample_1364,888,0.016410105,54113,0.394179,0.08,11.68100761
1365,sample_1365,481,0.017044649,28220,0.205536,0.08,17.0929925
1366,sample_1366,500,0.016262278,30746,0.223984,0.08,10.4202035
1367,sample_1367,330,0.014792899,22308,0.162509,0.08,-2.112024015
1368,sample_1368,316,0.016649982,18979,0.13825,0.08,13.72689989
1369,sample_1369,613,0.01545521,39663,0.288943,0.08,3.536777987
1370,sample_1370,911,0.015910163,57259,0.417057,0.08,7.417035638
1371,sample_1371,952,0.015964047,59634,0.434388,0.08,7.876615
1372,sample_1372,313,0.017389855,17999,0.131107,0.08,20.03722871
1373,sample_1373,532,0.017431193,30520,0.222301,0.08,20.3897948
1374,sample_1374,723,0.017792106,40636,0.295946,0.08,23.46799538
1375,sample_1375,774,0.016647309,46494,0.338635,0.08,13.70410864
1376,sample_1376,608,0.017416712,34909,0.25428,0.08,20.26629045
1377,sample_1377,635,0.016669292,38094,0.277447,0.08,13.89159518
1378,sample_1378,576,0.016425699,35067,0.255457,0.08,11.81401282
1379,sample_1379,1066,0.016964797,62836,0.457662,0.08,16.41194093
1380,sample_1380,727,0.017464626,41627,0.303237,0.08,20.67494818
1381,sample_1381,737,0.01534266,48036,0.349883,0.08,2.576842862
1382,sample_1382,978,0.016286699,60049,0.437436,0.08,10.62849
1383,sample_1383,262,0.013791651,18997,0.138386,0.08,-10.65159906
1384,sample_1384,1007,0.017050746,59059,0.430222,0.08,17.14499065
1385,sample_1385,911,0.015016153,60668,0.441993,0.08,-0.207905541
1386,sample_1386,986,0.016678507,59118,0.430627,0.08,13.97019473
1387,sample_1387,1074,0.017222855,62359,0.454202,0.08,18.6128954
1388,sample_1388,416,0.019107988,21771,0.158545,0.08,34.69106245
1389,sample_1389,1044,0.016851484,61953,0.451312,0.08,15.44550175
1390,sample_1390,765,0.017344972,44105,0.321221,0.08,19.65442673
1391,sample_1391,536,0.017261924,31051,0.226136,0.08,18.94611364
1392,sample_1392,740,0.015241391,48552,0.353633,0.08,1.713126654
1393,sample_1393,732,0.015277691,47913,0.349022,0.08,2.022728018
1394,sample_1394,971,0.01705963,56918,0.414579,0.08,17.22075978
1395,sample_1395,306,0.017350873,17636,0.128438,0.08,19.70475585
1396,sample_1396,1083,0.016936959,63943,0.465794,0.08,16.17451453
1397,sample_1397,948,0.015668127,60505,0.440761,0.08,5.352727561
1398,sample_1398,324,0.019009622,17044,0.12411,0.08,33.85210967
1399,sample_1399,607,0.017647914,34395,0.250499,0.08,22.23819546
1400,sample_1400,953,0.016113488,59143,0.430827,0.08,9.151180818
1401,sample_1401,297,0.018115279,16395,0.119398,0.08,26.2243198
1402,sample_1402,575,0.015617785,36817,0.268228,0.08,4.923369799
1403,sample_1403,732,0.015526896,47144,0.343378,0.08,4.148184341
1404,sample_1404,702,0.016380819,42855,0.312191,0.08,11.43123159
1405,sample_1405,336,0.0136897,24544,0.178791,0.08,-11.52113358
1406,sample_1406,199,0.012918722,15404,0.112224,0.08,-18.09674869
1407,sample_1407,558,0.016083473,34694,0.252703,0.08,8.895184963
1408,sample_1408,533,0.014852589,35886,0.261447,0.08,-1.602937762
1409,sample_1409,556,0.015822425,35140,0.255957,0.08,6.668724305
1410,sample_1410,253,0.012756517,19833,0.144492,0.08,-19.48018801
1411,sample_1411,642,0.015813976,40597,0.295724,0.08,6.596670324
1412,sample_1412,762,0.015242134,49993,0.36422,0.08,1.719465567
1413,sample_1413,536,0.017167932,31221,0.2274,0.08,18.14446166
1414,sample_1414,771,0.016681451,46219,0.336636,0.08,13.99530355
1415,sample_1415,694,0.014567284,47641,0.34708,0.08,-4.036277959
1416,sample_1416,472,0.016311861,28936,0.210801,0.08,10.84309036
1417,sample_1417,759,0.017166508,44214,0.322053,0.08,18.13232077
1418,sample_1418,816,0.017085785,47759,0.347889,0.08,17.44383596
1419,sample_1419,879,0.015385423,57132,0.416152,0.08,2.941570265
1420,sample_1420,902,0.015793529,57112,0.41609,0.08,6.422271641
1421,sample_1421,406,0.014819141,27397,0.199582,0.08,-1.888213173
1422,sample_1422,636,0.017198486,36980,0.269383,0.08,18.40505312
1423,sample_1423,1039,0.015795795,65777,0.479084,0.08,6.441601415
1424,sample_1424,281,0.013921918,20184,0.14705,0.08,-9.540560597
1425,sample_1425,364,0.019609956,18562,0.135171,0.08,38.97231359
1426,sample_1426,1061,0.017072974,62145,0.452706,0.08,17.33457709
1427,sample_1427,162,0.011297071,14340,0.10448,0.08,-31.92769915
1428,sample_1428,350,0.018172378,19260,0.140277,0.08,26.71131265
1429,sample_1429,489,0.01876439,26060,0.189778,0.08,31.76054064
1430,sample_1430,567,0.016645627,34063,0.248134,0.08,13.68976204
1431,sample_1431,337,0.017032245,19786,0.14412,0.08,16.98719826
1432,sample_1432,444,0.014420266,30790,0.224281,0.08,-5.290185588
1433,sample_1433,298,0.017162933,17363,0.126456,0.08,18.10182411
1434,sample_1434,269,0.013456055,19991,0.145658,0.08,-13.51387465
1435,sample_1435,282,0.01324068,21298,0.155143,0.08,-15.35079595
1436,sample_1436,1056,0.015549993,67910,0.49464,0.08,4.345171238
1437,sample_1437,372,0.017244576,21572,0.157121,0.08,18.79815692
1438,sample_1438,528,0.015196431,34745,0.253068,0.08,1.32966994
1439,sample_1439,797,0.015059046,52925,0.385552,0.08,0.157920131
1440,sample_1440,480,0.014338202,33477,0.243854,0.08,-5.990103474
1441,sample_1441,800,0.016148893,49539,0.360887,0.08,9.453148809
1442,sample_1442,181,0.012923033,14006,0.102031,0.08,-18.05998409
1443,sample_1443,703,0.017984599,39089,0.284656,0.08,25.10976092
1444,sample_1444,741,0.01550566,47789,0.348131,0.08,3.967063817
1445,sample_1445,453,0.014849538,30506,0.222218,0.08,-1.628959165
1446,sample_1446,969,0.016377373,59167,0.431042,0.08,11.40183646
1447,sample_1447,493,0.016967236,29056,0.211665,0.08,16.43273815
1448,sample_1448,308,0.017379528,17722,0.129078,0.08,19.94915282
1449,sample_1449,403,0.017427781,23124,0.1684,0.08,20.36069409
1450,sample_1450,475,0.018205511,26091,0.190006,0.08,26.9939059
1451,sample_1451,572,0.016642905,34369,0.250346,0.08,13.66654394
1452,sample_1452,609,0.016463019,36992,0.269475,0.08,12.13230956
1453,sample_1453,509,0.015820719,32173,0.234372,0.08,6.654179488
1454,sample_1454,400,0.01669937,23953,0.174489,0.08,14.14812704
1455,sample_1455,905,0.015048471,60139,0.438065,0.08,0.067728593
1456,sample_1456,580,0.016659964,34814,0.25359,0.08,13.8120427
1457,sample_1457,1013,0.016207741,62501,0.45521,0.08,9.955058305
1458,sample_1458,996,0.015221445,65434,0.476637,0.08,1.543007207
1459,sample_1459,821,0.016939361,48467,0.35303,0.08,16.19499524
1460,sample_1460,483,0.018534863,26059,0.189763,0.08,29.80292368
1461,sample_1461,1038,0.015604564,66519,0.48448,0.08,4.810607511
1462,sample_1462,769,0.015487483,49653,0.36172,0.08,3.812032043
1463,sample_1463,807,0.015196309,53105,0.386869,0.08,1.328629902
1464,sample_1464,715,0.018076554,39554,0.288037,0.08,25.89403292
1465,sample_1465,546,0.01476993,36967,0.269298,0.08,-2.307929026
1466,sample_1466,289,0.019033193,15184,0.11056,0.08,34.05314235
1467,sample_1467,813,0.017766997,45759,0.333223,0.08,23.25384362
1468,sample_1468,974,0.016491145,59062,0.430258,0.08,12.37219312
1469,sample_1469,1131,0.017072987,66245,0.482569,0.08,17.33468068
1470,sample_1470,674,0.017625523,38240,0.278518,0.08,22.04722479
1471,sample_1471,244,0.014286551,17079,0.124424,0.08,-6.430636473
1472,sample_1472,890,0.017471192,50941,0.371019,0.08,20.73094776
1473,sample_1473,943,0.014998728,62872,0.458029,0.08,-0.356529975
1474,sample_1474,1085,0.016479594,65839,0.479499,0.08,12.27367769
1475,sample_1475,258,0.017915423,14401,0.104874,0.08,24.51975761
1476,sample_1476,641,0.01470622,43587,0.317564,0.08,-2.851308812
1477,sample_1477,417,0.014724056,28321,0.206318,0.08,-2.699181616
1478,sample_1478,839,0.016103338,52101,0.379527,0.08,9.064613024
1479,sample_1479,1014,0.01733126,58507,0.426084,0.08,19.53747192
1480,sample_1480,407,0.013829426,29430,0.214418,0.08,-10.32942348
1481,sample_1481,781,0.015719979,49682,0.361925,0.08,5.794973619
1482,sample_1482,628,0.014848091,42295,0.308063,0.08,-1.641300569
1483,sample_1483,598,0.017408518,34351,0.250188,0.08,20.19640375
1484,sample_1484,1031,0.015442685,66763,0.486322,0.08,3.429954624
1485,sample_1485,669,0.015247516,43876,0.319649,0.08,1.765366796
1486,sample_1486,459,0.014339269,32010,0.233172,0.08,-5.981006256
1487,sample_1487,865,0.016201232,53391,0.388848,0.08,9.899549821
1488,sample_1488,258,0.01409451,18305,0.133344,0.08,-8.068541068
1489,sample_1489,820,0.015708812,52200,0.380195,0.08,5.699732708
1490,sample_1490,549,0.014694074,37362,0.272187,0.08,-2.954897371
1491,sample_1491,381,0.019123626,19923,0.145091,0.08,34.82444016
1492,sample_1492,950,0.016478751,57650,0.419857,0.08,12.26648714
1493,sample_1493,877,0.01506614,58210,0.424024,0.08,0.218424523
1494,sample_1494,272,0.017152226,15858,0.115524,0.08,18.01050769
1495,sample_1495,933,0.017397953,53627,0.390533,0.08,20.106292
1496,sample_1496,1074,0.015985711,67185,0.489452,0.08,8.061383531
1497,sample_1497,1021,0.016460043,62029,0.451872,0.08,12.1069262
1498,sample_1498,744,0.01596224,46610,0.339575,0.08,7.86119902
