,nipt_files,mapping
265,sample_280,sample_265
266,sample_281,sample_266
267,sample_282,sample_267
268,sample_285,sample_268
269,sample_286,sample_269
270,sample_287,sample_270
271,sample_288,sample_271
272,sample_289,sample_272
273,sample_290,sample_273
274,sample_291,sample_274
275,sample_292,sample_275
276,sample_294,sample_276
277,sample_295,sample_277
278,sample_296,sample_278
279,sample_297,sample_279
280,sample_298,sample_280
281,sample_299,sample_281
282,sample_301,sample_282
283,sample_302,sample_283
284,sample_303,sample_284
285,sample_304,sample_285
286,sample_305,sample_286
287,sample_307,sample_287
288,sample_308,sample_288
289,sample_309,sample_289
290,sample_310,sample_290
291,sample_311,sample_291
292,sample_312,sample_292
293,sample_313,sample_293
294,sample_317,sample_294
295,sample_318,sample_295
296,sample_319,sample_296
297,sample_320,sample_297
298,sample_321,sample_298
299,sample_322,sample_299
300,sample_323,sample_300
301,sample_324,sample_301
302,sample_325,sample_302
303,sample_326,sample_303
304,sample_327,sample_304
305,sample_328,sample_305
306,sample_329,sample_306
307,sample_330,sample_307
308,sample_331,sample_308
309,sample_332,sample_309
310,sample_333,sample_310
311,sample_334,sample_311
312,sample_335,sample_312
313,sample_336,sample_313
314,sample_337,sample_314
315,sample_338,sample_315
316,sample_339,sample_316
317,sample_340,sample_317
318,sample_341,sample_318
319,sample_342,sample_319
320,sample_343,sample_320
321,sample_344,sample_321
322,sample_345,sample_322
323,sample_346,sample_323
324,sample_347,sample_324
325,sample_348,sample_325
326,sample_349,sample_326
327,sample_350,sample_327
328,sample_351,sample_328
329,sample_352,sample_329
330,sample_353,sample_330
331,sample_354,sample_331
332,sample_355,sample_332
333,sample_356,sample_333
334,sample_357,sample_334
335,sample_358,sample_335
336,sample_359,sample_336
337,sample_360,sample_337
338,sample_361,sample_338
339,sample_362,sample_339
340,sample_363,sample_340
341,sample_364,sample_341
342,sample_365,sample_342
343,sample_366,sample_343
344,sample_367,sample_344
345,sample_368,sample_345
346,sample_369,sample_346
347,sample_370,sample_347
348,sample_371,sample_348
349,sample_372,sample_349
350,sample_374,sample_350
351,sample_378,sample_351
352,sample_379,sample_352
353,sample_381,sample_353
354,sample_382,sample_354
355,sample_383,sample_355
356,sample_384,sample_356
357,sample_385,sample_357
358,sample_386,sample_358
359,sample_389,sample_359
360,sample_390,sample_360
361,sample_391,sample_361
362,sample_393,sample_362
363,sample_394,sample_363
364,sample_397,sample_364
365,sample_398,sample_365
366,sample_399,sample_366
367,sample_400,sample_367
368,sample_401,sample_368
369,sample_402,sample_369
370,sample_403,sample_370
